ticker,risk_level,method
A,Med-Low,Smart Model
AAL,Low,Smart Model
AAP,Low,Smart Model
AAPL,Med-Low,Smart Model
ABBV,Medium,Smart Model
ABNB,Med-Low,Smart Model
ABT,Med-Low,Smart Model
ACGL,High,Smart Model
ACN,Med-Low,Smart Model
ADBE,Med-Low,Smart Model
ADI,Medium,Smart Model
ADP,High,Smart Model
ADSK,Med-Low,Smart Model
AEE,Medium,Smart Model
AEP,High,Smart Model
AES,High,Smart Model
AFG,High,Smart Model
AFL,Med-Low,Smart Model
AIG,High,Smart Model
AIZ,Med-Low,Smart Model
AJG,High,Smart Model
AKAM,Med-Low,Smart Model
ALB,Med-High,Smart Model
ALGN,Low,Smart Model
ALK,Medium,Smart Model
ALL,Med-Low,Smart Model
ALLE,Med-Low,Smart Model
AMAT,Med-Low,Smart Model
AMCR,Medium,Smart Model
AMD,Med-Low,Smart Model
AME,Med-Low,Smart Model
AMGN,Med-Low,Smart Model
AMP,Medium,Smart Model
AMT,High,Smart Model
AMZN,Low,Smart Model
AN,Low,Smart Model
ANET,Med-Low,Smart Model
ANF,Med-Low,Smart Model
AON,Med-Low,Smart Model
AOS,Low,Smart Model
APA,Medium,Smart Model
APD,Medium,Smart Model
APH,Low,Smart Model
APTV,Low,Smart Model
ARE,High,Smart Model
ARES,High,Smart Model
ASML,Low,Smart Model
ATO,High,Smart Model
AVB,Med-Low,Smart Model
AVGO,Med-Low,Smart Model
AVY,Medium,Smart Model
AWK,High,Smart Model
AXP,High,Smart Model
AZO,Med-Low,Smart Model
BA,Med-Low,Smart Model
BAC,High,Smart Model
BALL,Medium,Smart Model
BAX,Med-High,Smart Model
BBWI,Medium,Smart Model
BBY,Low,Smart Model
BDX,Medium,Smart Model
BEN,Medium,Smart Model
BG,Low,Smart Model
BIDU,Medium,Smart Model
BIIB,Medium,Smart Model
BIO,Med-Low,Smart Model
BK,Low,Smart Model
BKNG,Med-Low,Smart Model
BKR,Low,Smart Model
BLK,High,Smart Model
BMY,Medium,Smart Model
BR,Med-Low,Smart Model
BRO,High,Smart Model
BSX,Medium,Smart Model
BWA,Low,Smart Model
BXP,High,Smart Model
C,Low,Smart Model
CAG,High,Smart Model
CAH,Low,Smart Model
CARR,Medium,Smart Model
CAT,Low,Smart Model
CB,Med-Low,Smart Model
CBOE,Med-Low,Smart Model
CBRE,Low,Smart Model
CCI,High,Smart Model
CCL,Medium,Smart Model
CDNS,Med-Low,Smart Model
CDW,Medium,Smart Model
CE,High,Smart Model
CEG,Med-Low,Smart Model
CF,Med-Low,Smart Model
CFG,High,Smart Model
CHD,Medium,Smart Model
CHRW,Low,Smart Model
CHTR,Med-Low,Smart Model
CI,Medium,Smart Model
CINF,Med-Low,Smart Model
CL,Low,Smart Model
CLX,Med-Low,Smart Model
CMCSA,Med-Low,Smart Model
CME,High,Smart Model
CMG,Med-Low,Smart Model
CMI,Medium,Smart Model
CMS,High,Smart Model
CNC,Low,Smart Model
CNP,Med-Low,Smart Model
COF,Medium,Smart Model
COIN,Med-High,Smart Model
COO,Med-Low,Smart Model
COP,Med-Low,Smart Model
COST,Low,Smart Model
CPB,Medium,Smart Model
CPRT,Med-Low,Smart Model
CPT,Med-Low,Smart Model
CRL,High,Smart Model
CRM,Med-Low,Smart Model
CRWD,Medium,Smart Model
CSCO,Med-Low,Smart Model
CSGP,Medium,Smart Model
CSX,Med-Low,Smart Model
CTAS,Med-Low,Smart Model
CTRA,Medium,Smart Model
CTSH,Low,Smart Model
CTVA,Med-Low,Smart Model
CVS,Medium,Smart Model
CVX,Medium,Smart Model
CZR,Medium,Smart Model
D,High,Smart Model
DAL,Medium,Smart Model
DASH,Medium,Smart Model
DD,Low,Smart Model
DDOG,Medium,Smart Model
DE,Med-Low,Smart Model
DELL,Medium,Smart Model
DG,Medium,Smart Model
DGX,Medium,Smart Model
DHI,Medium,Smart Model
DHR,Medium,Smart Model
DIS,Medium,Smart Model
DKNG,Low,Smart Model
DLR,High,Smart Model
DLTR,Medium,Smart Model
DOCU,Med-Low,Smart Model
DOV,Low,Smart Model
DOW,High,Smart Model
DPZ,Low,Smart Model
DRI,Medium,Smart Model
DTE,Med-Low,Smart Model
DUK,Med-Low,Smart Model
DVA,Low,Smart Model
DVN,Med-Low,Smart Model
DXCM,Med-Low,Smart Model
EA,Medium,Smart Model
EBAY,Low,Smart Model
ECL,Med-Low,Smart Model
ED,Med-Low,Smart Model
EFX,Med-Low,Smart Model
EIX,High,Smart Model
EL,Medium,Smart Model
ELV,Low,Smart Model
EMN,Medium,Smart Model
EMR,Medium,Smart Model
ENPH,Medium,Smart Model
EOG,Medium,Smart Model
EPAM,Low,Smart Model
EQIX,Med-Low,Smart Model
EQR,Med-Low,Smart Model
EQT,Med-Low,Smart Model
ES,High,Smart Model
ESS,High,Smart Model
ETN,Low,Smart Model
ETR,High,Smart Model
EVRG,High,Smart Model
EW,Med-Low,Smart Model
EXC,High,Smart Model
EXPD,Low,Smart Model
EXPE,Medium,Smart Model
EXR,Med-Low,Smart Model
F,Med-High,Smart Model
FANG,High,Smart Model
FAST,Med-Low,Smart Model
FCX,Med-Low,Smart Model
FDS,Med-Low,Smart Model
FDX,Medium,Smart Model
FE,Medium,Smart Model
FFIV,Med-Low,Smart Model
FICO,Med-Low,Smart Model
FIS,Medium,Smart Model
FITB,Low,Smart Model
FMC,High,Smart Model
FOXA,Medium,Smart Model
FRT,Med-Low,Smart Model
